county_fips,state_po,year,democrats,green,libertarian,other,republican
2001,AK,2020,15111,525,216,2142,27723
2002,AK,2020,17295,876,287,2175,26578
2003,AK,2020,21041,1203,316,2245,26002
2004,AK,2020,24015,861,323,2589,26577
2005,AK,2020,21038,819,259,2559,24197
2006,AK,2020,15574,577,266,2304,30226
2007,AK,2020,16871,1617,272,2456,37067
2008,AK,2020,17505,857,241,2325,36539
2009,AK,2020,14464,555,301,2281,35183
2010,AK,2020,13817,867,286,2020,35074
2011,AK,2020,14825,831,269,2321,40573
2012,AK,2020,14138,745,288,2104,37023
2013,AK,2020,17055,1270,308,2056,34745
2014,AK,2020,18805,392,356,2530,38720
2015,AK,2020,17115,1104,197,2123,28809
2016,AK,2020,20977,594,210,2240,29936
2017,AK,2020,19800,705,184,1943,28646
2018,AK,2020,21815,1563,157,1787,25910
2019,AK,2020,20419,780,110,1646,24205
2020,AK,2020,21311,892,153,1896,21930
2021,AK,2020,24398,880,203,2087,29349
2022,AK,2020,22101,743,200,2039,27558
2023,AK,2020,21219,336,170,1833,24172
2024,AK,2020,22033,677,222,1908,30811
2025,AK,2020,22082,810,201,2227,28215
2026,AK,2020,23657,770,207,2399,34441
2027,AK,2020,23577,1073,228,2485,34797
2028,AK,2020,24100,1169,219,2940,39606
2029,AK,2020,17055,1697,190,2116,35509
2030,AK,2020,18397,580,270,2202,36721
2031,AK,2020,23924,635,250,2416,36157
2032,AK,2020,25282,390,238,2448,32127
2033,AK,2020,23275,892,197,2756,29799
2034,AK,2020,20898,475,279,2692,32508
2035,AK,2020,22082,683,170,2675,27922
2036,AK,2020,17284,462,245,2215,23813
2037,AK,2020,13271,311,86,1527,14245
2038,AK,2020,16991,379,105,2483,12121
2039,AK,2020,17709,487,123,2276,13435
2040,AK,2020,12862,338,94,1716,12452
2099,AK,2020,647,0,1,28,99
1001,AL,2020,35595,160,,1869,99981
1003,AL,2020,110442,1033,,8413,377557
1005,AL,2020,31316,46,,449,33487
1007,AL,2020,13160,52,,565,36402
1009,AL,2020,20203,154,,1800,118769
1011,AL,2020,21653,24,,149,7855
1013,AL,2020,23272,36,,299,30037
1015,AL,2020,91167,481,,4144,182712
1017,AL,2020,36782,95,,792,45948
1019,AL,2020,14146,77,,790,44417
1021,AL,2020,21639,92,,1027,81953
1023,AL,2020,20668,33,,244,24274
1025,AL,2020,33058,33,,389,42118
1027,AL,2020,9979,52,,473,28990
1029,AL,2020,6553,39,,476,30439
1031,AL,2020,29001,155,,1518,85316
1033,AL,2020,55665,208,,2293,88330
1035,AL,2020,18532,35,,255,19741
1037,AL,2020,12201,34,,300,18596
1039,AL,2020,19369,123,,798,72530
1041,AL,2020,10984,40,,267,24597
1043,AL,2020,36995,282,,3186,173739
1045,AL,2020,29529,188,,1365,79319
1047,AL,2020,75806,63,,535,39094
1049,AL,2020,32948,175,,2166,112191
1051,AL,2020,49188,212,,2513,148661
1053,AL,2020,28537,78,,784,54954
1055,AL,2020,81070,435,,3990,175692
1057,AL,2020,12040,60,,563,36065
1059,AL,2020,20230,72,,974,49266
1061,AL,2020,12175,97,,723,54364
1063,AL,2020,24094,24,,125,5201
1065,AL,2020,29114,43,,276,19040
1067,AL,2020,16233,48,,403,32387
1069,AL,2020,66729,257,,2843,170894
1071,AL,2020,37287,184,,1954,84873
1073,AL,2020,926733,3393,,26699,862386
1075,AL,2020,9883,57,,357,32237
1077,AL,2020,76210,354,,4334,147238
1079,AL,2020,29873,63,,1195,54707
1081,AL,2020,122770,895,,6866,191667
1083,AL,2020,60623,193,,3924,146506
1085,AL,2020,29841,18,,147,10576
1087,AL,2020,48634,31,,347,8360
1089,AL,2020,377083,1885,,22053,509473
1091,AL,2020,33074,40,,345,31373
1093,AL,2020,16152,125,,1000,58605
1095,AL,2020,43030,256,,3012,153885
1097,AL,2020,434973,1585,,12670,559477
1099,AL,2020,26133,25,,384,34842
1101,AL,2020,334227,677,,6157,230601
1103,AL,2020,82013,450,,4650,206806
1105,AL,2020,24496,18,,161,9401
1107,AL,2020,25101,39,,336,31084
1109,AL,2020,31297,75,,883,45243
1111,AL,2020,16547,60,,663,41456
1113,AL,2020,58163,109,,1099,50592
1115,AL,2020,37166,221,,2827,165114
1117,AL,2020,124954,812,,10320,404302
1119,AL,2020,29021,20,,224,10005
1121,AL,2020,75581,184,,1886,114345
1123,AL,2020,35394,153,,1009,76266
1125,AL,2020,185432,1007,,7006,266873
1127,AL,2020,43945,264,,2320,125294
1129,AL,2020,17206,26,,375,33198
1131,AL,2020,25149,6,,107,10612
1133,AL,2020,9817,88,,797,50381
5001,AR,2020,14818,81,46,995,23354
5003,AR,2020,18502,70,25,1156,29602
5005,AR,2020,34160,472,183,2792,77724
5007,AR,2020,154254,1139,1972,14453,322015
5009,AR,2020,23330,344,153,2692,65983
5011,AR,2020,9988,38,33,470,12699
5013,AR,2020,4428,27,16,278,8581
5015,AR,2020,22989,349,100,1792,38158
5017,AR,2020,16115,31,17,348,10546
5019,AR,2020,24782,151,79,1353,25874
5021,AR,2020,12934,84,53,792,19137
5023,AR,2020,18482,193,105,1840,49172
5025,AR,2020,5994,38,27,563,13780
5027,AR,2020,21176,141,53,1008,33354
5029,AR,2020,19180,102,78,1417,27586
5031,AR,2020,70321,530,440,4762,115657
5033,AR,2020,32618,258,274,3219,89321
5035,AR,2020,52242,126,112,1612,41732
5037,AR,2020,14861,46,48,872,25089
5039,AR,2020,8313,24,14,405,9774
5041,AR,2020,14883,48,18,645,11067
5043,AR,2020,16031,68,27,709,22082
5045,AR,2020,88040,672,840,7524,153420
5047,AR,2020,11953,109,67,998,27216
5049,AR,2020,9719,55,38,699,17641
5051,AR,2020,89939,668,396,5710,148827
5053,AR,2020,10730,96,56,957,29861
5055,AR,2020,27550,238,188,2426,54102
5057,AR,2020,17606,74,31,932,24265
5059,AR,2020,25779,218,93,1991,42684
5061,AR,2020,10137,61,27,558,17435
5063,AR,2020,23245,194,147,2097,51744
5065,AR,2020,10623,80,55,946,20575
5067,AR,2020,14416,82,37,978,17954
5069,AR,2020,104079,387,106,3317,57929
5071,AR,2020,17435,134,97,1444,30983
5073,AR,2020,7550,32,9,298,10055
5075,AR,2020,13068,95,52,1249,21103
5077,AR,2020,12803,25,8,334,8092
5079,AR,2020,9525,41,21,558,13343
5081,AR,2020,11488,57,44,765,18810
5083,AR,2020,14198,140,88,1426,32179
5085,AR,2020,38248,309,403,3662,102968
5087,AR,2020,11870,107,54,988,26081
5089,AR,2020,12221,239,65,1234,27946
5091,AR,2020,30322,141,101,1398,59473
5093,AR,2020,38062,134,120,2098,39256
5095,AR,2020,9616,62,12,361,9288
5097,AR,2020,6453,108,26,650,14918
5099,AR,2020,8582,68,8,441,11739
5101,AR,2020,6294,123,23,766,16471
5103,AR,2020,27947,159,79,1022,31677
5105,AR,2020,8169,81,35,943,16360
5107,AR,2020,30490,91,15,806,16873
