"Notes"	"Race"	"Race Code"	"County"	"County Code"	Population
	"American Indian or Alaska Native"	"1002-5"	"Autauga County, AL"	"01001"	266
	"American Indian or Alaska Native"	"1002-5"	"Baldwin County, AL"	"01003"	1532
	"American Indian or Alaska Native"	"1002-5"	"Barbour County, AL"	"01005"	167
	"American Indian or Alaska Native"	"1002-5"	"Bibb County, AL"	"01007"	79
	"American Indian or Alaska Native"	"1002-5"	"Blount County, AL"	"01009"	369
	"American Indian or Alaska Native"	"1002-5"	"Bullock County, AL"	"01011"	89
	"American Indian or Alaska Native"	"1002-5"	"Butler County, AL"	"01013"	67
	"American Indian or Alaska Native"	"1002-5"	"Calhoun County, AL"	"01015"	609
	"American Indian or Alaska Native"	"1002-5"	"Chambers County, AL"	"01017"	75
	"American Indian or Alaska Native"	"1002-5"	"Cherokee County, AL"	"01019"	138
	"American Indian or Alaska Native"	"1002-5"	"Chilton County, AL"	"01021"	219
	"American Indian or Alaska Native"	"1002-5"	"Choctaw County, AL"	"01023"	21
	"American Indian or Alaska Native"	"1002-5"	"Clarke County, AL"	"01025"	106
	"American Indian or Alaska Native"	"1002-5"	"Clay County, AL"	"01027"	74
	"American Indian or Alaska Native"	"1002-5"	"Cleburne County, AL"	"01029"	54
	"American Indian or Alaska Native"	"1002-5"	"Coffee County, AL"	"01031"	832
	"American Indian or Alaska Native"	"1002-5"	"Colbert County, AL"	"01033"	301
	"American Indian or Alaska Native"	"1002-5"	"Conecuh County, AL"	"01035"	55
	"American Indian or Alaska Native"	"1002-5"	"Coosa County, AL"	"01037"	70
	"American Indian or Alaska Native"	"1002-5"	"Covington County, AL"	"01039"	247
	"American Indian or Alaska Native"	"1002-5"	"Crenshaw County, AL"	"01041"	67
	"American Indian or Alaska Native"	"1002-5"	"Cullman County, AL"	"01043"	507
	"American Indian or Alaska Native"	"1002-5"	"Dale County, AL"	"01045"	446
	"American Indian or Alaska Native"	"1002-5"	"Dallas County, AL"	"01047"	99
	"American Indian or Alaska Native"	"1002-5"	"DeKalb County, AL"	"01049"	1723
	"American Indian or Alaska Native"	"1002-5"	"Elmore County, AL"	"01051"	362
	"American Indian or Alaska Native"	"1002-5"	"Escambia County, AL"	"01053"	1425
	"American Indian or Alaska Native"	"1002-5"	"Etowah County, AL"	"01055"	590
	"American Indian or Alaska Native"	"1002-5"	"Fayette County, AL"	"01057"	63
	"American Indian or Alaska Native"	"1002-5"	"Franklin County, AL"	"01059"	466
	"American Indian or Alaska Native"	"1002-5"	"Geneva County, AL"	"01061"	232
	"American Indian or Alaska Native"	"1002-5"	"Greene County, AL"	"01063"	18
	"American Indian or Alaska Native"	"1002-5"	"Hale County, AL"	"01065"	25
	"American Indian or Alaska Native"	"1002-5"	"Henry County, AL"	"01067"	59
	"American Indian or Alaska Native"	"1002-5"	"Houston County, AL"	"01069"	517
	"American Indian or Alaska Native"	"1002-5"	"Jackson County, AL"	"01071"	1024
	"American Indian or Alaska Native"	"1002-5"	"Jefferson County, AL"	"01073"	2510
	"American Indian or Alaska Native"	"1002-5"	"Lamar County, AL"	"01075"	24
	"American Indian or Alaska Native"	"1002-5"	"Lauderdale County, AL"	"01077"	399
	"American Indian or Alaska Native"	"1002-5"	"Lawrence County, AL"	"01079"	2256
	"American Indian or Alaska Native"	"1002-5"	"Lee County, AL"	"01081"	586
	"American Indian or Alaska Native"	"1002-5"	"Limestone County, AL"	"01083"	775
	"American Indian or Alaska Native"	"1002-5"	"Lowndes County, AL"	"01085"	29
	"American Indian or Alaska Native"	"1002-5"	"Macon County, AL"	"01087"	48
	"American Indian or Alaska Native"	"1002-5"	"Madison County, AL"	"01089"	3226
	"American Indian or Alaska Native"	"1002-5"	"Marengo County, AL"	"01091"	43
	"American Indian or Alaska Native"	"1002-5"	"Marion County, AL"	"01093"	115
	"American Indian or Alaska Native"	"1002-5"	"Marshall County, AL"	"01095"	1206
	"American Indian or Alaska Native"	"1002-5"	"Mobile County, AL"	"01097"	4188
	"American Indian or Alaska Native"	"1002-5"	"Monroe County, AL"	"01099"	285
	"American Indian or Alaska Native"	"1002-5"	"Montgomery County, AL"	"01101"	856
	"American Indian or Alaska Native"	"1002-5"	"Morgan County, AL"	"01103"	1426
	"American Indian or Alaska Native"	"1002-5"	"Perry County, AL"	"01105"	23
	"American Indian or Alaska Native"	"1002-5"	"Pickens County, AL"	"01107"	33
	"American Indian or Alaska Native"	"1002-5"	"Pike County, AL"	"01109"	230
	"American Indian or Alaska Native"	"1002-5"	"Randolph County, AL"	"01111"	87
	"American Indian or Alaska Native"	"1002-5"	"Russell County, AL"	"01113"	297
	"American Indian or Alaska Native"	"1002-5"	"St. Clair County, AL"	"01115"	294
	"American Indian or Alaska Native"	"1002-5"	"Shelby County, AL"	"01117"	767
	"American Indian or Alaska Native"	"1002-5"	"Sumter County, AL"	"01119"	18
	"American Indian or Alaska Native"	"1002-5"	"Talladega County, AL"	"01121"	325
	"American Indian or Alaska Native"	"1002-5"	"Tallapoosa County, AL"	"01123"	152
	"American Indian or Alaska Native"	"1002-5"	"Tuscaloosa County, AL"	"01125"	653
	"American Indian or Alaska Native"	"1002-5"	"Walker County, AL"	"01127"	304
	"American Indian or Alaska Native"	"1002-5"	"Washington County, AL"	"01129"	1403
	"American Indian or Alaska Native"	"1002-5"	"Wilcox County, AL"	"01131"	19
	"American Indian or Alaska Native"	"1002-5"	"Winston County, AL"	"01133"	200
	"American Indian or Alaska Native"	"1002-5"	"Aleutians East Borough, AK"	"02013"	867
	"American Indian or Alaska Native"	"1002-5"	"Aleutians West Census Area, AK"	"02016"	942
	"American Indian or Alaska Native"	"1002-5"	"Anchorage Borough, AK"	"02020"	28576
	"American Indian or Alaska Native"	"1002-5"	"Bethel Census Area, AK"	"02050"	14874
	"American Indian or Alaska Native"	"1002-5"	"Bristol Bay Borough, AK"	"02060"	462
	"American Indian or Alaska Native"	"1002-5"	"Denali Borough, AK"	"02068"	88
	"American Indian or Alaska Native"	"1002-5"	"Dillingham Census Area, AK"	"02070"	3828
	"American Indian or Alaska Native"	"1002-5"	"Fairbanks North Star Borough, AK"	"02090"	8791
	"American Indian or Alaska Native"	"1002-5"	"Haines Borough, AK"	"02100"	292
	"American Indian or Alaska Native"	"1002-5"	"Hoonah-Angoon Census Area, AK"	"02105"	981
	"American Indian or Alaska Native"	"1002-5"	"Juneau Borough, AK"	"02110"	4885
	"American Indian or Alaska Native"	"1002-5"	"Kenai Peninsula Borough, AK"	"02122"	5278
	"American Indian or Alaska Native"	"1002-5"	"Ketchikan Gateway Borough, AK"	"02130"	2456
	"American Indian or Alaska Native"	"1002-5"	"Kodiak Island Borough, AK"	"02150"	2254
	"American Indian or Alaska Native"	"1002-5"	"Kusilvak Census Area, AK"	"02158"	7339
	"American Indian or Alaska Native"	"1002-5"	"Lake and Peninsula Borough, AK"	"02164"	1177
	"American Indian or Alaska Native"	"1002-5"	"Matanuska-Susitna Borough, AK"	"02170"	6911
	"American Indian or Alaska Native"	"1002-5"	"Nome Census Area, AK"	"02180"	7767
	"American Indian or Alaska Native"	"1002-5"	"North Slope Borough, AK"	"02185"	5410
	"American Indian or Alaska Native"	"1002-5"	"Northwest Arctic Borough, AK"	"02188"	6523
	"American Indian or Alaska Native"	"1002-5"	"Petersburg Borough/Census Area, AK"	"02195"	376
