"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Autauga County, AL"	"01001"	"2011"	"2011"	28246
	"Female"	"F"	"Autauga County, AL"	"01001"	"2015"	"2015"	28136
"Total"	"Female"	"F"	"Autauga County, AL"	"01001"			56382
	"Female"	"F"	"Baldwin County, AL"	"01003"	"2011"	"2011"	95368
	"Female"	"F"	"Baldwin County, AL"	"01003"	"2015"	"2015"	104047
"Total"	"Female"	"F"	"Baldwin County, AL"	"01003"			199415
	"Female"	"F"	"Barbour County, AL"	"01005"	"2011"	"2011"	12684
	"Female"	"F"	"Barbour County, AL"	"01005"	"2015"	"2015"	12312
"Total"	"Female"	"F"	"Barbour County, AL"	"01005"			24996
	"Female"	"F"	"Bibb County, AL"	"01007"	"2011"	"2011"	10475
	"Female"	"F"	"Bibb County, AL"	"01007"	"2015"	"2015"	10457
"Total"	"Female"	"F"	"Bibb County, AL"	"01007"			20932
	"Female"	"F"	"Blount County, AL"	"01009"	"2011"	"2011"	29114
	"Female"	"F"	"Blount County, AL"	"01009"	"2015"	"2015"	29178
"Total"	"Female"	"F"	"Blount County, AL"	"01009"			58292
	"Female"	"F"	"Bullock County, AL"	"01011"	"2011"	"2011"	4908
	"Female"	"F"	"Bullock County, AL"	"01011"	"2015"	"2015"	4758
"Total"	"Female"	"F"	"Bullock County, AL"	"01011"			9666
	"Female"	"F"	"Butler County, AL"	"01013"	"2011"	"2011"	11056
	"Female"	"F"	"Butler County, AL"	"01013"	"2015"	"2015"	10766
"Total"	"Female"	"F"	"Butler County, AL"	"01013"			21822
	"Female"	"F"	"Calhoun County, AL"	"01015"	"2011"	"2011"	61118
	"Female"	"F"	"Calhoun County, AL"	"01015"	"2015"	"2015"	59937
"Total"	"Female"	"F"	"Calhoun County, AL"	"01015"			121055
	"Female"	"F"	"Chambers County, AL"	"01017"	"2011"	"2011"	17811
	"Female"	"F"	"Chambers County, AL"	"01017"	"2015"	"2015"	17644
"Total"	"Female"	"F"	"Chambers County, AL"	"01017"			35455
	"Female"	"F"	"Cherokee County, AL"	"01019"	"2011"	"2011"	13088
	"Female"	"F"	"Cherokee County, AL"	"01019"	"2015"	"2015"	12939
"Total"	"Female"	"F"	"Cherokee County, AL"	"01019"			26027
	"Female"	"F"	"Chilton County, AL"	"01021"	"2011"	"2011"	22206
	"Female"	"F"	"Chilton County, AL"	"01021"	"2015"	"2015"	22166
"Total"	"Female"	"F"	"Chilton County, AL"	"01021"			44372
	"Female"	"F"	"Choctaw County, AL"	"01023"	"2011"	"2011"	7111
	"Female"	"F"	"Choctaw County, AL"	"01023"	"2015"	"2015"	6938
"Total"	"Female"	"F"	"Choctaw County, AL"	"01023"			14049
	"Female"	"F"	"Clarke County, AL"	"01025"	"2011"	"2011"	13521
